ficheiro_xml,query,query_length,rank,accession,hit_def,hit_length,align_length,identities,percent_id,evalue
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,1,YP_007236598,terminase large subunit [Staphylococcus phage StB27] >gb|AFD22190.1| TerL [Staphylococcus phage StB27],379,379,379,100.0,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,2,XOR87555,MAG: hypothetical protein MSP1699_41 [Caudoviricetes sp.],429,379,377,99.47229551451187,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,3,WP_242265516,PBSX family phage terminase large subunit [Staphylococcus hominis] >gb|XOR16155.1| MAG: hypothetical protein [Caudoviricetes sp.] >gb|MCI2896244.1| PBSX family phage terminase large subunit [Staphylococcus hominis] >gb|MCI2923910.1| PBSX family phage terminase large subunit [Staphylococcus hominis] >gb|MDS3901066.1| PBSX family phage terminase large subunit [Staphylococcus hominis] >gb|MDS3912821.1| PBSX family phage terminase large subunit [Staphylococcus hominis],429,379,377,99.47229551451187,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,4,WP_100442560,PBSX family phage terminase large subunit [Staphylococcus hominis] >gb|PJM33030.1| PBSX family phage terminase large subunit [Staphylococcus hominis] >gb|PJM56450.1| PBSX family phage terminase large subunit [Staphylococcus hominis],429,379,377,99.47229551451187,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,5,WP_347132279,PBSX family phage terminase large subunit [Staphylococcus hominis],429,379,377,99.47229551451187,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,6,WP_347130071,PBSX family phage terminase large subunit [Staphylococcus hominis] >gb|MES5411717.1| PBSX family phage terminase large subunit [Staphylococcus hominis],429,379,376,99.2084432717678,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,7,WP_193622454,PBSX family phage terminase large subunit [Staphylococcus haemolyticus] >gb|MBE7331260.1| PBSX family phage terminase large subunit [Staphylococcus haemolyticus],429,379,376,99.2084432717678,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,8,HHP6032999,PBSX family phage terminase large subunit [Streptococcus pyogenes],429,379,375,98.94459102902374,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,9,WP_219045229,PBSX family phage terminase large subunit [Staphylococcus epidermidis] >gb|QXV20042.1| PBSX family phage terminase large subunit [Staphylococcus epidermidis] >gb|QXV20098.1| PBSX family phage terminase large subunit [Staphylococcus epidermidis],429,379,375,98.94459102902374,0.0
NC_019914.1_16482_17621_blastp.xml,NC_019914.1:16482-17621 traducao_melhor_orf sentido=+ frame=0,379,10,WP_343322677,PBSX family phage terminase large subunit [Staphylococcus hominis],429,379,375,98.94459102902374,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,1,YP_007236612,tail protein with endopeptidase domain [Staphylococcus phage StB27] >gb|AFD22204.1| endopeptidase [Staphylococcus phage StB27],416,416,416,100.0,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,2,WP_053028135,tail tube TT1 domain-containing protein [Staphylococcus haemolyticus],416,416,415,99.75961538461539,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,3,WP_100442572,tail tube TT1 domain-containing protein [Staphylococcus hominis] >gb|PJM33044.1| hypothetical protein CWC34_05920 [Staphylococcus hominis] >gb|PJM56464.1| hypothetical protein CWB55_05320 [Staphylococcus hominis],416,416,412,99.03846153846153,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,4,HHP6033014,DUF7643 domain-containing protein [Streptococcus pyogenes],416,416,412,99.03846153846153,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,5,WP_263866638,phage tail protein [Mycobacterium avium] >gb|MCA4764661.1| phage tail protein [Mycobacterium avium subsp. hominissuis] >gb|MEQ2755476.1| phage tail protein [Staphylococcus hominis],416,416,413,99.27884615384616,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,6,WP_145443714,tail tube TT1 domain-containing protein [Staphylococcus hominis] >gb|MCI2846622.1| phage tail protein [Staphylococcus hominis] >gb|MCI2848824.1| phage tail protein [Staphylococcus hominis] >gb|MCI2855378.1| phage tail protein [Staphylococcus hominis] >gb|MDT4037546.1| phage tail protein [Staphylococcus hominis] >gb|QGR78812.1| hypothetical protein FOC54_02030 [Staphylococcus hominis],416,416,412,99.03846153846153,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,7,EUZ69621,hypothetical protein O552_00701 [Staphylococcus sp. M0480],416,416,411,98.79807692307692,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,8,WP_207025510,tail tube TT1 domain-containing protein [Staphylococcus hominis] >gb|MBO0379795.1| phage tail protein [Staphylococcus hominis],416,416,410,98.5576923076923,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,9,WP_434139863,tail tube TT1 domain-containing protein [Staphylococcus hominis] >gb|MGJ0186422.1| tail tube TT1 domain-containing protein [Staphylococcus hominis],416,416,411,98.79807692307692,0.0
NC_019914.1_29102_30352_blastp.xml,NC_019914.1:29102-30352 traducao_melhor_orf sentido=+ frame=0,416,10,WP_145447671,tail tube TT1 domain-containing protein [Staphylococcus hominis],416,416,411,98.79807692307692,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,1,YP_007236613,zinc carboxypeptidase [Staphylococcus phage StB27] >gb|AFD22205.1| Zn carboxypeptidase [Staphylococcus phage StB27],624,624,624,100.0,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,2,WP_311052049,M14 family metallopeptidase [Staphylococcus hominis] >gb|MDS3897126.1| M14 family metallopeptidase [Staphylococcus hominis],624,624,622,99.67948717948718,0.0
